"","year_start","month_start","year_end","month_end","permno","n_obs","R2_long","R2_short","tau_pi_R"
"67",1990,3,2009,3,10100,20,0.611166201080541,0.599305091673556,0.0296013479595358
"68",1991,3,2010,3,10100,20,0.378637917726239,0.339003474312254,0.0599616516482389
"69",1992,3,2011,3,10100,20,0.210167985117031,0.158802441422701,0.0610624022509104
"70",1987,5,2006,5,10104,20,0.138305611221925,0.101633652475968,0.0408207173465786
"71",1988,5,2007,5,10104,20,0.138793578588516,0.100327100002192,0.0427560712192379
"72",1989,5,2008,5,10104,20,0.145832439957331,0.102795019352644,0.0479683255588203
"73",1990,5,2009,5,10104,20,0.138520507914526,0.0956919835816799,0.0473605492324135
"74",1992,5,2011,5,10104,20,0.254512547249707,0.102455667768559,0.169414338680196
"75",1993,5,2012,5,10104,20,0.410196779554459,0.377833640179543,0.0520168582953538
"76",1994,5,2013,5,10104,20,0.333010024751819,0.295370205716898,0.0534178647288339
"77",1995,5,2014,5,10104,20,0.315661444486048,0.280116347219356,0.0493761695093296
"78",1996,5,2015,5,10104,20,0.346652316760235,0.302349595078705,0.0635027534837127
"79",1997,5,2016,5,10104,20,0.345457422361936,0.294384454862583,0.0723807289271193
"80",1987,6,2006,6,10107,20,0.418688749465836,0.30201806904369,0.167154299055127
"81",1988,6,2007,6,10107,20,0.440489807043591,0.361650101254308,0.123505472381522
"82",1989,6,2008,6,10107,20,0.60118907786799,0.495474648801809,0.209532442354228
"83",1990,6,2009,6,10107,20,0.61389322788054,0.494772746822055,0.235776040008138
"84",1991,6,2010,6,10107,20,0.588843102626641,0.45742290303138,0.242214793675417
"85",1992,6,2011,6,10107,20,0.513061556521893,0.381000599184452,0.213345856495898
"86",1993,6,2012,6,10107,20,0.462256621590895,0.34655539275017,0.177063560640096
"87",1994,6,2013,6,10107,20,0.473431616115097,0.356861292221271,0.181252228304585
"88",1995,6,2014,6,10107,20,0.394975706567,0.293291588529966,0.14388412022084
"89",1996,6,2015,6,10107,20,0.379150497608658,0.323653913066725,0.0820535308980174
"90",1997,6,2016,6,10107,20,0.260564708920603,0.185836134590546,0.0917856681007024
"91",1985,12,2004,12,10137,20,0.206860224176722,0.204509446387645,0.00295512973523234
"92",1986,12,2005,12,10137,20,0.223644282150807,0.2211916487817,0.00314921298066482
"93",1987,12,2006,12,10137,20,0.214877264574716,0.212857389935803,0.00256608473875979
"94",1988,12,2007,12,10137,20,0.211583634881564,0.210052861544656,0.00193781743409009
"95",1989,12,2008,12,10137,20,0.182024644407428,0.180190288801814,0.00223753827328079
"96",1987,12,2006,12,10138,20,0.250725571904558,0.190113132307416,0.074840625296012
"97",1988,12,2007,12,10138,20,0.229355312790558,0.152443181264491,0.0907456937704952
"98",1989,12,2008,12,10138,20,0.366763657710698,0.255923107994383,0.14896383815596
"99",1990,12,2009,12,10138,20,0.429068916528584,0.09048788251448,0.372266655391201
"100",1991,12,2010,12,10138,20,0.435982145723435,0.062850607124977,0.398155877211584
"101",1992,12,2011,12,10138,20,0.440106514013675,0.0615825553384193,0.403364154011184
"102",1993,12,2012,12,10138,20,0.465991200674481,0.0618826630031724,0.430765450902945
"103",1994,12,2013,12,10138,20,0.47092817873495,0.0584243184491134,0.438099526536618
"104",1995,12,2014,12,10138,20,0.476274603101385,0.0534398821987336,0.446706672878676
"105",1996,12,2015,12,10138,20,0.477722146101764,0.0628648831792047,0.442686711314321
"106",1997,12,2016,12,10138,20,0.471014886087835,0.0639912792383837,0.434850229299426
"107",1963,12,1982,12,10145,20,0.184434563305789,0.0313417704942917,0.15804624185108
"108",1964,12,1983,12,10145,20,0.241375769043764,0.0423496494120766,0.207827543225458
"109",1965,12,1984,12,10145,20,0.18507282540626,0.0479997025635578,0.143984327748441
"110",1966,12,1985,12,10145,20,0.153474213148286,0.000895277098693133,0.152715658881601
"111",1967,12,1986,12,10145,20,0.134038836887586,0.000821813511880178,0.133326592971303
"112",1968,12,1987,12,10145,20,0.0910284724262047,0.0120851578162188,0.0799090278221573
"113",1969,12,1988,12,10145,20,0.0898965139772093,0.00309217627626153,0.0870735845734548
"114",1970,12,1989,12,10145,20,0.043325999779662,0.0058309744423135,0.037714940189688
"115",1971,12,1990,12,10145,20,0.0810646723887428,0.0256187369668396,0.0569037373002278
"116",1972,12,1991,12,10145,20,0.094083147653069,0.0000546607528392388,0.0940336268490656
"117",1973,12,1992,12,10145,20,0.094708580182275,0.00303655709639266,0.0919512382709762
"118",1974,12,1993,12,10145,20,0.0864621369123235,0.00151419513231142,0.0850767646028465
"119",1975,12,1994,12,10145,20,0.0765700146674596,0.0121559298308996,0.065206733311193
"120",1976,12,1995,12,10145,20,0.0756194253665866,0.0142168675711138,0.0622880994567052
"121",1977,12,1996,12,10145,20,0.0758269825797733,0.0137052152477815,0.0629849901797851
"122",1978,12,1997,12,10145,20,0.087205082283874,0.0172646194449706,0.0711691715010835
"123",1979,12,1998,12,10145,20,0.25470196781149,0.0196329863549936,0.239776510413697
"124",1980,12,1999,12,10145,20,0.262591001741246,0.0123236129504499,0.253390069938202
"125",1981,12,2000,12,10145,20,0.306915214617074,0.0102422330186246,0.299743019449356
"126",1982,12,2001,12,10145,20,0.252010440707061,0.0159236586053141,0.239906978931281
"127",1983,12,2002,12,10145,20,0.264599334129382,0.0456653916367308,0.229410041901481
"128",1984,12,2003,12,10145,20,0.21889425947266,0.0170330477569622,0.20535910312658
"129",1985,12,2004,12,10145,20,0.248571998401947,0.0170247883946805,0.235557527060241
"130",1986,12,2005,12,10145,20,0.258900894874021,0.0542139257676594,0.216419943878428
"131",1987,12,2006,12,10145,20,0.264355374125701,0.0568398655227034,0.220021501139893
"132",1988,12,2007,12,10145,20,0.312031479778515,0.0134188931180299,0.302674138575624
"133",1989,12,2008,12,10145,20,0.344247156707592,0.012429320565391,0.335994013443341
"134",1990,12,2009,12,10145,20,0.336187964765834,0.000792714882780973,0.335661333617786
"135",1991,12,2010,12,10145,20,0.260025655959257,0.00390910207549663,0.257121668732658
"136",1992,12,2011,12,10145,20,0.152522726178625,0.00346774736701393,0.149573662485871
